[2019-03-06 14:16:15] ERROR [<module>:fang_TX.py, 123] error
[2019-03-06 14:20:24] ERROR [<module>:fang_TX.py, 123] error
[2019-03-06 15:05:49] [20496-79704] ERROR [<module>:fang_TX.py, 123] error
[2019-03-06 16:50:18] [90792-16056] ERROR [<module>:fang_TX.py, 123] error
[2019-03-06 16:51:07] [78344-82736] ERROR [<module>:fang_TX.py, 123] error
[2019-03-06 16:52:17] [44304-82712] ERROR [<module>:fang_TX.py, 123] error
[2019-03-06 16:52:56] [90372-85348] ERROR [<module>:fang_TX.py, 123] error
[2019-03-06 16:53:57] [78344-87644] ERROR [<module>:fang_TX.py, 123] error
[2019-03-06 16:54:41] [86396-91960] ERROR [<module>:fang_TX.py, 123] error
[2019-03-06 17:08:21] [87768-91804] ERROR [<module>:fang_TX.py, 123] error
[2019-03-06 17:31:37] [91604-91364] ERROR [<module>:fang_TX.py, 123] error
[2019-03-06 17:36:52] [24720-77120] ERROR [<module>:fang_TX.py, 123] error
[2019-03-06 17:37:24] [87364-91280] ERROR [<module>:fang_TX.py, 123] error
