标题,播放数,链接
化妆拍照BGM.,795万,https://music.163.com/playlist?id=2434987000
高 级 感 vlog 纯音乐 BGM,1314万,https://music.163.com/playlist?id=2369772502
谁说翻唱不好听,698万,https://music.163.com/playlist?id=2433860552
精选 | 网络热歌分享,1256万,https://music.163.com/playlist?id=2602222983
本人写作业学习歌单,555万,https://music.163.com/playlist?id=2382819181
绝版歌曲，劲爆电音，英文纯音，应有尽有！,719万,https://music.163.com/playlist?id=2525632823
听说你也在找好听的华语歌,5981万,https://music.163.com/playlist?id=2438292020
再见大侠：武侠小说泰斗金庸逝世,893万,https://music.163.com/playlist?id=2492536378
2018年度最热新歌TOP100,6938万,https://music.163.com/playlist?id=2578068117
抖音歌曲大全,678万,https://music.163.com/playlist?id=2428607226
开口即俘获人心，一听就爱上的英文歌 ②,622万,https://music.163.com/playlist?id=2429537442
给猪猪甜甜的歌单,697万,https://music.163.com/playlist?id=2456961456
Gifty 很美味 叽叽 二嘉 可乐 西柚 一口甜,717万,https://music.163.com/playlist?id=2489592180
那些喜欢到循环播放的歌,8716万,https://music.163.com/playlist?id=2466312782
社会人摇头必备嗨曲（极嗨）,716万,https://music.163.com/playlist?id=2467197621
"""若是心怀旧梦 就别再无疾而终""",1524万,https://music.163.com/playlist?id=2474537199
那些超带感的英文歌曲~『一秒沦陷』,596万,https://music.163.com/playlist?id=2390539027
給你全宇宙的愛亘古不變,537万,https://music.163.com/playlist?id=2445944292
怀旧 | 闲暇细数90后的回忆杀,1275万,https://music.163.com/playlist?id=2395304063
别急，甜甜的恋爱马上就轮到你了,3517万,https://music.163.com/playlist?id=2430524968
失恋必听歌单 | 因为你突然听懂了很多歌,4133万,https://music.163.com/playlist?id=2385384236
你在抖音上一定听过他们唱歌,554万,https://music.163.com/playlist?id=2522271121
KTV必点：有没有一首歌，唱着唱着就泪奔,1170万,https://music.163.com/playlist?id=2557918409
初恋糖配料表：你的马尾辫和衬衫味道,741万,https://music.163.com/playlist?id=2497731034
不曾刻骨铭心，为何念念不忘？,883万,https://music.163.com/playlist?id=2683848158
「青春印象」有没有一首歌瞬间勾起你的回忆,736万,https://music.163.com/playlist?id=2452681243
遥不可及 | 还有多远才能进入你的心,805万,https://music.163.com/playlist?id=2520454912
【2018年度电影精选| Ready Story 】,994万,https://music.163.com/playlist?id=2563772680
有趣的歌，实在是一味行走的良药,516万,https://music.163.com/playlist?id=2618676816
华语百首｜好听的才是耳朵最想要的,576万,https://music.163.com/playlist?id=2459811044
在你最无助的时候，哪首歌曾治愈了你？,632万,https://music.163.com/playlist?id=2669381196
这首歌真甜 有和我一起酸的吗,716万,https://music.163.com/playlist?id=2663228502
洒脱生活，做酷酷的自己才美丽,508万,https://music.163.com/playlist?id=2629041485
隔壁老樊的孤单,1565万,https://music.163.com/playlist?id=2476882724
你还年轻，可以成为想成为的人,645万,https://music.163.com/playlist?id=2666769294
最是粤语最为情深 也唯独你最难忘怀,2005万,https://music.163.com/playlist?id=2388322013
你有没有喜欢很久却错过的人?,808万,https://music.163.com/playlist?id=2617430576
粤语无前奏 | 开口即深情 入耳便钟意,655万,https://music.163.com/playlist?id=2512725665
2019年二月最热新歌TOP50,631万,https://music.163.com/playlist?id=2689760444
愿每个孤独的人 都有属于自己的歌,622万,https://music.163.com/playlist?id=2564404001
「看书学习」在安静的位置看热闹的世界,561万,https://music.163.com/playlist?id=2426530028
希望你的可爱，可以治愈一切烦恼,510万,https://music.163.com/playlist?id=2523761864
会讲故事的男声 歌词唱的太像自己,936万,https://music.163.com/playlist?id=2546228760
听歌最怕应景，睹物最怕思人,531万,https://music.163.com/playlist?id=2621874307
试 着 安 静 地 听 完 一 整 首 歌,668万,https://music.163.com/playlist?id=2634350920
早 / 睡 / 早 / 起 ：愿你生活温暖且美好,617万,https://music.163.com/playlist?id=2585806368
